"Gene.Ontology.IDs","Gene.Ontology..GO.","Gene.Ontology..biological.process.","Gene.Ontology..molecular.function.","Gene.Ontology..cellular.component."
"GO:0004129; GO:0005739; GO:0005743; GO:0006123; GO:0008535; GO:0031966; GO:0045277; GO:0045333","mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; cellular respiration [GO:0045333]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory chain complex IV assembly [GO:0008535]","cellular respiration [GO:0045333]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory chain complex IV assembly [GO:0008535]","cytochrome-c oxidase activity [GO:0004129]","mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]"
"GO:0004129; GO:0005743; GO:0006123; GO:0008535; GO:0045277","mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory chain complex IV assembly [GO:0008535]","mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory chain complex IV assembly [GO:0008535]","cytochrome-c oxidase activity [GO:0004129]","mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]"
"GO:0004129; GO:0005739; GO:0005743; GO:0006123; GO:0008535; GO:0045277","mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory chain complex IV assembly [GO:0008535]","mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory chain complex IV assembly [GO:0008535]","cytochrome-c oxidase activity [GO:0004129]","mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]"
"GO:0004129; GO:0005739; GO:0005743; GO:0006123; GO:0008535; GO:0045277","mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory chain complex IV assembly [GO:0008535]","mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory chain complex IV assembly [GO:0008535]","cytochrome-c oxidase activity [GO:0004129]","mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]"
"GO:0004129; GO:0005743; GO:0006123; GO:0008535; GO:0045277","mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory chain complex IV assembly [GO:0008535]","mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory chain complex IV assembly [GO:0008535]","cytochrome-c oxidase activity [GO:0004129]","mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]"
