"","Gene.Ontology..biological.process.","Gene.Ontology..molecular.function.","Gene.Ontology..cellular.component."
"P68871","blood vessel diameter maintenance [GO:0097746]; carbon dioxide transport [GO:0015670]; cellular oxidant detoxification [GO:0098869]; erythrocyte development [GO:0048821]; hydrogen peroxide catabolic process [GO:0042744]; inflammatory response [GO:0006954]; nitric oxide transport [GO:0030185]; oxygen transport [GO:0015671]; platelet aggregation [GO:0070527]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; regulation of blood pressure [GO:0008217]; renal absorption [GO:0070293]; response to hydrogen peroxide [GO:0042542]","heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; hemoglobin binding [GO:0030492]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]","blood microparticle [GO:0072562]; cytosol [GO:0005829]; endocytic vesicle lumen [GO:0071682]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; tertiary granule lumen [GO:1904724]"
"P02112","erythrocyte development [GO:0048821]; oxygen transport [GO:0015671]","heme binding [GO:0020037]; hemoglobin binding [GO:0030492]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]","extracellular space [GO:0005615]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]"
"P02118","hydrogen peroxide catabolic process [GO:0042744]","haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]","blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]"
"P02117","hydrogen peroxide catabolic process [GO:0042744]","haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]","blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]"
"P07036","hydrogen peroxide catabolic process [GO:0042744]","haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]","blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]"
"P68061","hydrogen peroxide catabolic process [GO:0042744]","haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]","blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]"
